x	shape	net	y	bbox	object_class	object_type	object_name	object_layer	object_net	object_bbox
100.0	PATH_11_507	VSS	867.704	{99.75 867.454} {100.25 867.954}	pg	via	VIA_SA_8542	VIA34LG_C	VSS	{99.8270 867.5730} {100.1730 868.4270}
100.0	PATH_11_507	VSS	867.704	{99.75 867.454} {100.25 867.954}	pg	via	VIA_SA_8543	VIA45LG_C	VSS	{99.8270 867.5730} {100.1730 868.4270}
100.0	PATH_11_507	VSS	867.704	{99.75 867.454} {100.25 867.954}	pg	via	VIA_SA_8544	VIA56LG_C	VSS	{99.8270 867.5730} {100.1730 868.4270}
100.0	PATH_11_507	VSS	867.704	{99.75 867.454} {100.25 867.954}	pg	via	VIA_SA_8545	VIA67LG_C	VSS	{99.8270 867.5730} {100.1730 868.4270}
105.0	PATH_11_507	VSS	867.704	{104.75 867.454} {105.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
105.0	PATH_11_507	VSS	867.704	{104.75 867.454} {105.25 867.954}	signal	shape	PATH_21_4387	M6	n132665	{105.0920 866.3080} {105.1480 957.5640}
105.0	PATH_11_507	VSS	867.704	{104.75 867.454} {105.25 867.954}	signal	shape	PATH_17_61382	M4	n139388	{105.0920 852.3240} {105.1480 878.5240}
105.0	PATH_11_507	VSS	867.704	{104.75 867.454} {105.25 867.954}	signal	shape	PATH_19_70560	M5	ZBUF_32_1117	{104.1800 867.5240} {112.4440 867.5800}
105.0	PATH_11_507	VSS	867.704	{104.75 867.454} {105.25 867.954}	signal	shape	PATH_17_153220	M4	ZBUF_283_2000	{104.7880 865.0920} {104.8440 875.4840}
105.0	PATH_11_507	VSS	867.704	{104.75 867.454} {105.25 867.954}	signal	shape	PATH_13_378762	M2	n52327	{105.0920 865.8520} {105.1480 868.1880}
105.0	PATH_11_507	VSS	867.704	{104.75 867.454} {105.25 867.954}	signal	shape	PATH_13_378772	M2	n52329	{104.9400 862.3560} {104.9960 868.4920}
105.0	PATH_11_507	VSS	867.704	{104.75 867.454} {105.25 867.954}	signal	shape	PATH_13_934782	M2	ZBUF_1943_1084	{105.2440 866.6120} {105.3000 875.4840}
110.0	PATH_11_507	VSS	867.704	{109.75 867.454} {110.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
110.0	PATH_11_507	VSS	867.704	{109.75 867.454} {110.25 867.954}	signal	shape	PATH_21_1196	M6	n52417	{109.9560 827.3960} {110.0120 876.0920}
110.0	PATH_11_507	VSS	867.704	{109.75 867.454} {110.25 867.954}	signal	shape	PATH_19_70560	M5	ZBUF_32_1117	{104.1800 867.5240} {112.4440 867.5800}
110.0	PATH_11_507	VSS	867.704	{109.75 867.454} {110.25 867.954}	signal	shape	PATH_15_678888	M3	ZBUF_961_3427	{109.9560 867.8280} {111.3800 867.8840}
110.0	PATH_11_507	VSS	867.704	{109.75 867.454} {110.25 867.954}	signal	shape	PATH_13_935788	M2	ZBUF_246_1090	{109.8040 857.4920} {109.8600 873.9640}
110.0	PATH_11_507	VSS	867.704	{109.75 867.454} {110.25 867.954}	signal	shape	PATH_13_1084701	M2	ZBUF_17_2774	{110.1080 863.7240} {110.1640 871.5320}
110.0	PATH_11_507	VSS	867.704	{109.75 867.454} {110.25 867.954}	signal	shape	PATH_13_1227980	M2	ZBUF_961_3427	{109.9560 866.1560} {110.0120 867.8840}
115.0	PATH_11_507	VSS	867.704	{114.75 867.454} {115.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
115.0	PATH_11_507	VSS	867.704	{114.75 867.454} {115.25 867.954}	signal	shape	PATH_17_44498	M4	n132853	{114.8200 865.0920} {114.8760 869.7080}
115.0	PATH_11_507	VSS	867.704	{114.75 867.454} {115.25 867.954}	signal	shape	PATH_17_165934	M4	ZBUF_255_2750	{115.1240 866.9160} {115.1800 872.1400}
115.0	PATH_11_507	VSS	867.704	{114.75 867.454} {115.25 867.954}	signal	shape	PATH_13_401934	M2	n59750	{115.1240 860.2280} {115.1800 867.7320}
115.0	PATH_11_507	VSS	867.704	{114.75 867.454} {115.25 867.954}	signal	shape	PATH_13_401936	M2	n59750	{114.9720 867.6760} {115.0280 906.1880}
115.0	PATH_11_507	VSS	867.704	{114.75 867.454} {115.25 867.954}	signal	shape	PATH_15_563918	M3	ZBUF_216_2530	{114.8200 867.5240} {123.3880 867.5800}
115.0	PATH_11_507	VSS	867.704	{114.75 867.454} {115.25 867.954}	signal	shape	PATH_13_1044591	M2	ZBUF_216_2530	{114.6680 867.8280} {114.8760 867.8840}
115.0	PATH_11_507	VSS	867.704	{114.75 867.454} {115.25 867.954}	signal	shape	PATH_13_1044592	M2	ZBUF_216_2530	{115.1240 867.8280} {115.1800 868.4920}
120.0	PATH_11_507	VSS	867.704	{119.75 867.454} {120.25 867.954}	pg	shape	PATH_13_25	M2	VDD	{119.8000 13.0000} {120.2000 1195.7280}
120.0	PATH_11_507	VSS	867.704	{119.75 867.454} {120.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
120.0	PATH_11_507	VSS	867.704	{119.75 867.454} {120.25 867.954}	signal	shape	PATH_19_62228	M5	ZBUF_295_74	{117.2520 867.5240} {129.4680 867.5800}
120.0	PATH_11_507	VSS	867.704	{119.75 867.454} {120.25 867.954}	signal	shape	PATH_15_562183	M3	ZBUF_439_2524	{116.6440 867.8280} {124.9080 867.8840}
120.0	PATH_11_507	VSS	867.704	{119.75 867.454} {120.25 867.954}	signal	shape	PATH_15_563918	M3	ZBUF_216_2530	{114.8200 867.5240} {123.3880 867.5800}
125.0	PATH_11_507	VSS	867.704	{124.75 867.454} {125.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
125.0	PATH_11_507	VSS	867.704	{124.75 867.454} {125.25 867.954}	signal	shape	PATH_21_15720	M6	ZBUF_24_1640	{125.1560 835.3000} {125.2120 871.8360}
125.0	PATH_11_507	VSS	867.704	{124.75 867.454} {125.25 867.954}	signal	shape	PATH_19_62228	M5	ZBUF_295_74	{117.2520 867.5240} {129.4680 867.5800}
125.0	PATH_11_507	VSS	867.704	{124.75 867.454} {125.25 867.954}	signal	shape	PATH_17_165991	M4	ZBUF_658_2750	{124.8520 866.9160} {124.9080 869.4040}
125.0	PATH_11_507	VSS	867.704	{124.75 867.454} {125.25 867.954}	signal	shape	PATH_15_517466	M3	ZBUF_2303_1605	{125.1560 867.8280} {131.9000 867.8840}
125.0	PATH_11_507	VSS	867.704	{124.75 867.454} {125.25 867.954}	signal	shape	PATH_15_562183	M3	ZBUF_439_2524	{116.6440 867.8280} {124.9080 867.8840}
125.0	PATH_11_507	VSS	867.704	{124.75 867.454} {125.25 867.954}	signal	shape	PATH_15_563921	M3	ZBUF_216_2530	{124.5480 867.5240} {130.8360 867.5800}
125.0	PATH_11_507	VSS	867.704	{124.75 867.454} {125.25 867.954}	signal	shape	PATH_13_970913	M2	ZBUF_2303_1605	{125.1560 867.8280} {125.2120 869.1000}
125.0	PATH_11_507	VSS	867.704	{124.75 867.454} {125.25 867.954}	signal	shape	PATH_13_970914	M2	ZBUF_2303_1605	{125.1560 866.6120} {125.2120 867.8840}
125.0	PATH_11_507	VSS	867.704	{124.75 867.454} {125.25 867.954}	signal	shape	PATH_13_1041803	M2	ZBUF_439_2524	{124.5480 867.8280} {124.9080 867.8840}
125.0	PATH_11_507	VSS	867.704	{124.75 867.454} {125.25 867.954}	signal	shape	PATH_13_1041804	M2	ZBUF_439_2524	{124.8520 867.2200} {124.9080 867.8840}
130.0	PATH_11_507	VSS	867.704	{129.75 867.454} {130.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
130.0	PATH_11_507	VSS	867.704	{129.75 867.454} {130.25 867.954}	signal	shape	PATH_17_10694	M4	n40162	{130.0200 815.5400} {130.0760 884.6040}
