x	shape	net	y	bbox	object_type	object_name	object_layer	object_net	object_bbox
90.0	PATH_11_579	VSS	988.088	{89.75 987.838} {90.25 988.338}	shape	PATH_13_393865	M2	n57250	{89.8920 985.3240} {89.9480 993.1320}
90.0	PATH_11_579	VSS	988.088	{89.75 987.838} {90.25 988.338}	shape	PATH_15_523296	M3	ZBUF_144_1636	{90.1960 988.2120} {90.5560 988.2680}
90.0	PATH_11_579	VSS	988.088	{89.75 987.838} {90.25 988.338}	shape	PATH_13_980096	M2	ZBUF_144_1636	{90.1960 985.4760} {90.2520 988.2680}
90.0	PATH_11_579	VSS	988.088	{89.75 987.838} {90.25 988.338}	via	VIA_S_1652201	VIA23SQ_C	ZBUF_144_1636	{90.1690 988.1850} {90.2790 988.2950}
90.0	PATH_11_603	VSS	1028.216	{89.75 1027.966} {90.25 1028.466}	shape	PATH_17_17232	M4	n63286	{89.8920 1018.6120} {89.9480 1032.9560}
90.0	PATH_11_603	VSS	1028.216	{89.75 1027.966} {90.25 1028.466}	shape	PATH_15_183190	M3	n62930	{85.3320 1028.3400} {90.5560 1028.3960}
90.0	PATH_11_603	VSS	1028.216	{89.75 1027.966} {90.25 1028.466}	shape	PATH_13_939265	M2	ZBUF_249_1098	{90.1960 1027.4280} {90.2520 1029.0040}
100.0	PATH_11_483	VSS	827.576	{99.75 827.326} {100.25 827.826}	shape	PATH_19_62769	M5	ZBUF_989_92	{89.5880 827.3960} {106.3640 827.4520}
100.0	PATH_11_483	VSS	827.576	{99.75 827.326} {100.25 827.826}	shape	PATH_15_359316	M3	n138888	{99.6200 827.3960} {104.6920 827.4520}
110.0	PATH_11_483	VSS	827.576	{109.75 827.326} {110.25 827.826}	shape	PATH_21_1196	M6	n52417	{109.9560 827.3960} {110.0120 876.0920}
110.0	PATH_11_483	VSS	827.576	{109.75 827.326} {110.25 827.826}	shape	PATH_13_379033	M2	n52417	{109.8040 827.7000} {109.8600 828.5160}
110.0	PATH_11_483	VSS	827.576	{109.75 827.326} {110.25 827.826}	shape	PATH_15_466810	M3	ZBUF_13_120	{106.3080 827.3960} {117.7640 827.4520}
110.0	PATH_11_483	VSS	827.576	{109.75 827.326} {110.25 827.826}	shape	PATH_13_918533	M2	ZBUF_2_936	{109.9560 827.0920} {110.0120 828.0600}
110.0	PATH_11_483	VSS	827.576	{109.75 827.326} {110.25 827.826}	via	VIA_S_1571009	VIA45SQ_C	ZBUF_186_1090	{110.2330 827.3690} {110.3430 827.4790}
110.0	PATH_11_507	VSS	867.704	{109.75 867.454} {110.25 867.954}	shape	PATH_21_1196	M6	n52417	{109.9560 827.3960} {110.0120 876.0920}
110.0	PATH_11_507	VSS	867.704	{109.75 867.454} {110.25 867.954}	shape	PATH_19_70560	M5	ZBUF_32_1117	{104.1800 867.5240} {112.4440 867.5800}
110.0	PATH_11_507	VSS	867.704	{109.75 867.454} {110.25 867.954}	shape	PATH_15_678888	M3	ZBUF_961_3427	{109.9560 867.8280} {111.3800 867.8840}
110.0	PATH_11_507	VSS	867.704	{109.75 867.454} {110.25 867.954}	shape	PATH_13_935788	M2	ZBUF_246_1090	{109.8040 857.4920} {109.8600 873.9640}
110.0	PATH_11_507	VSS	867.704	{109.75 867.454} {110.25 867.954}	shape	PATH_13_1084701	M2	ZBUF_17_2774	{110.1080 863.7240} {110.1640 871.5320}
110.0	PATH_11_507	VSS	867.704	{109.75 867.454} {110.25 867.954}	shape	PATH_13_1227980	M2	ZBUF_961_3427	{109.9560 866.1560} {110.0120 867.8840}
110.0	PATH_11_531	VSS	907.832	{109.75 907.582} {110.25 908.082}	shape	PATH_21_10067	M6	ZBUF_360_70	{109.9560 904.0040} {110.0120 958.1720}
110.0	PATH_11_531	VSS	907.832	{109.75 907.582} {110.25 908.082}	shape	PATH_15_301333	M3	n133946	{109.6520 907.9560} {110.1640 908.0120}
110.0	PATH_11_531	VSS	907.832	{109.75 907.582} {110.25 908.082}	shape	PATH_15_582251	M3	ZBUF_1028_2750	{109.9560 907.6520} {115.7880 907.7080}
110.0	PATH_11_531	VSS	907.832	{109.75 907.582} {110.25 908.082}	shape	PATH_13_639284	M2	n133946	{110.1080 903.0920} {110.1640 908.0120}
110.0	PATH_11_531	VSS	907.832	{109.75 907.582} {110.25 908.082}	shape	PATH_13_1073143	M2	ZBUF_1028_2750	{109.9560 907.0440} {110.0120 907.7080}
110.0	PATH_11_555	VSS	947.96	{109.75 947.71} {110.25 948.21}	shape	PATH_21_10067	M6	ZBUF_360_70	{109.9560 904.0040} {110.0120 958.1720}
110.0	PATH_11_555	VSS	947.96	{109.75 947.71} {110.25 948.21}	shape	PATH_19_82771	M5	ZBUF_2_2719	{109.9560 947.7800} {112.4440 947.8360}
110.0	PATH_11_555	VSS	947.96	{109.75 947.71} {110.25 948.21}	shape	PATH_17_165529	M4	ZBUF_2_2719	{109.9540 947.5960} {110.0140 947.8380}
110.0	PATH_11_555	VSS	947.96	{109.75 947.71} {110.25 948.21}	shape	PATH_13_1070310	M2	ZBUF_2_2719	{109.8040 947.3240} {109.8600 947.8360}
110.0	PATH_11_555	VSS	947.96	{109.75 947.71} {110.25 948.21}	via	VIA_S_1011048	VIA23SQ_C	n133758	{110.2330 947.7530} {110.3430 947.8630}
110.0	PATH_11_579	VSS	988.088	{109.75 987.838} {110.25 988.338}	shape	PATH_19_20822	M5	n135469	{107.2200 987.9080} {112.4440 987.9640}
110.0	PATH_11_579	VSS	988.088	{109.75 987.838} {110.25 988.338}	shape	PATH_13_392693	M2	n56882	{110.1080 987.3000} {110.1640 988.7240}
